(base) ➜  Synth git:(dev) cmake --build --preset dev --target run_synth
[  6%] Built target synth_desktop_audio
[ 58%] Built target synth_core
[ 65%] Built target synth_desktop_system
[ 89%] Built target synth_desktop_midi
[ 96%] Built target synth
[100%] Running desktop synth from the repository root
Opened MIDI input: MPK Mini Mk II
Mapped MIDI: distortion_drive=18.394 from channel=1 cc=26 value=73
Mapped MIDI: distortion_drive=18.898 from channel=1 cc=26 value=75
Mapped MIDI: distortion_drive=19.150 from channel=1 cc=26 value=76
Mapped MIDI: distortion_drive=19.402 from channel=1 cc=26 value=77
Mapped MIDI: distortion_drive=19.654 from channel=1 cc=26 value=78
Mapped MIDI: distortion_drive=20.157 from channel=1 cc=26 value=80
Mapped MIDI: distortion_drive=20.409 from channel=1 cc=26 value=81
Mapped MIDI: distortion_drive=20.913 from channel=1 cc=26 value=83
Mapped MIDI: distortion_drive=21.417 from channel=1 cc=26 value=85
Mapped MIDI: distortion_drive=21.669 from channel=1 cc=26 value=86
Mapped MIDI: distortion_drive=22.173 from channel=1 cc=26 value=88
Mapped MIDI: distortion_drive=22.677 from channel=1 cc=26 value=90
Mapped MIDI: distortion_drive=22.929 from channel=1 cc=26 value=91
Mapped MIDI: distortion_drive=23.181 from channel=1 cc=26 value=92
Mapped MIDI: distortion_drive=23.433 from channel=1 cc=26 value=93
Mapped MIDI: distortion_drive=23.937 from channel=1 cc=26 value=95
Mapped MIDI: distortion_drive=24.189 from channel=1 cc=26 value=96
Mapped MIDI: distortion_drive=24.693 from channel=1 cc=26 value=98
Mapped MIDI: distortion_drive=24.945 from channel=1 cc=26 value=99
Mapped MIDI: distortion_drive=25.449 from channel=1 cc=26 value=101
Mapped MIDI: distortion_drive=25.701 from channel=1 cc=26 value=102
Mapped MIDI: distortion_drive=25.953 from channel=1 cc=26 value=103
Mapped MIDI: distortion_drive=26.205 from channel=1 cc=26 value=104
Mapped MIDI: distortion_drive=26.709 from channel=1 cc=26 value=106
Mapped MIDI: distortion_drive=26.961 from channel=1 cc=26 value=107
Mapped MIDI: distortion_drive=27.465 from channel=1 cc=26 value=109
Mapped MIDI: distortion_drive=27.969 from channel=1 cc=26 value=111
Mapped MIDI: distortion_drive=28.220 from channel=1 cc=26 value=112
Mapped MIDI: distortion_drive=28.724 from channel=1 cc=26 value=114
Mapped MIDI: distortion_drive=28.976 from channel=1 cc=26 value=115
Mapped MIDI: distortion_drive=29.228 from channel=1 cc=26 value=116
Mapped MIDI: distortion_drive=29.480 from channel=1 cc=26 value=117
Mapped MIDI: distortion_drive=29.984 from channel=1 cc=26 value=119
Mapped MIDI: distortion_drive=30.236 from channel=1 cc=26 value=120
Mapped MIDI: distortion_drive=30.740 from channel=1 cc=26 value=122
Mapped MIDI: distortion_drive=31.244 from channel=1 cc=26 value=124
Mapped MIDI: distortion_drive=31.496 from channel=1 cc=26 value=125
Mapped MIDI: distortion_drive=32.000 from channel=1 cc=26 value=127
Mapped MIDI: distortion_mix=0.008 from channel=1 cc=28 value=1
Mapped MIDI: distortion_mix=0.000 from channel=1 cc=28 value=0
Mapped MIDI: distortion_mix=0.008 from channel=1 cc=28 value=1
Mapped MIDI: distortion_mix=0.016 from channel=1 cc=28 value=2
Mapped MIDI: distortion_mix=0.024 from channel=1 cc=28 value=3
Mapped MIDI: distortion_mix=0.031 from channel=1 cc=28 value=4
Mapped MIDI: distortion_mix=0.047 from channel=1 cc=28 value=6
Mapped MIDI: distortion_mix=0.055 from channel=1 cc=28 value=7
Mapped MIDI: distortion_mix=0.063 from channel=1 cc=28 value=8
Mapped MIDI: distortion_mix=0.071 from channel=1 cc=28 value=9
Mapped MIDI: distortion_mix=0.079 from channel=1 cc=28 value=10
Mapped MIDI: distortion_mix=0.087 from channel=1 cc=28 value=11
Mapped MIDI: distortion_mix=0.094 from channel=1 cc=28 value=12
Mapped MIDI: distortion_mix=0.102 from channel=1 cc=28 value=13
Mapped MIDI: distortion_mix=0.110 from channel=1 cc=28 value=14
Mapped MIDI: distortion_mix=0.118 from channel=1 cc=28 value=15
Mapped MIDI: distortion_mix=0.126 from channel=1 cc=28 value=16
Mapped MIDI: distortion_mix=0.134 from channel=1 cc=28 value=17
Mapped MIDI: distortion_mix=0.142 from channel=1 cc=28 value=18
Mapped MIDI: distortion_mix=0.150 from channel=1 cc=28 value=19
Mapped MIDI: distortion_mix=0.157 from channel=1 cc=28 value=20
Mapped MIDI: distortion_mix=0.150 from channel=1 cc=28 value=19
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=34
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=33
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=32
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=31
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=29
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=28
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=26
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=25
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=23
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=22
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=20
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=19
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=17
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=15
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=14
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=12
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=11
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=9
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=7
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=6
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=4
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=3
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=1
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=0
Mapped MIDI: saturation_mix=0.157 from channel=1 cc=28 value=20
Mapped MIDI: saturation_mix=0.173 from channel=1 cc=28 value=22
Mapped MIDI: saturation_mix=0.181 from channel=1 cc=28 value=23
Mapped MIDI: saturation_mix=0.189 from channel=1 cc=28 value=24
Mapped MIDI: saturation_mix=0.197 from channel=1 cc=28 value=25
Mapped MIDI: saturation_mix=0.205 from channel=1 cc=28 value=26
Mapped MIDI: saturation_mix=0.213 from channel=1 cc=28 value=27
Mapped MIDI: saturation_mix=0.220 from channel=1 cc=28 value=28
